RANK,JANUARY,,FEBRUARY,,MARCH,,APRIL,,MAY,,JUNE,,JULY,,AUGUST,,SEPTEMBER,,OCTOBER,,NOVEMBER,,DECEMBER,
,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE
,I21,14,I21,26,I21,19,I22,27,I21,34,U07.1,53,I22,21,I22,9,U07.1,24,U07.1,70,U07.1,71,U07.1,20
,I63.9,6,J96.0,15,J18.9,16,I46.9,7,U07.1,19,I11.9,14,J96.0,21,U07.1,9,I21,16,J18.9,21,I22,17,I21,9
,J96.0,6,I46.9,10,I22,16,I21,4,I22,13,E11,14,U07.1,16,I21,9,A15.0,11,I10,11,J18.9,13,I10,6
,N,4,I22,9,I10,13,J96.0,4,I10,12,I22,14,I21,13,R57.2,7,J18.9,10,I22,9,I10,10,J18.9,6
,I10,4,J18.9,7,I46.9,12,J18.9,4,N18.9,8,J18.9,12,I46.9,11,J96.0,7,I10,10,N18.9,8,I11.9,10,I11.9,6
,J18.9,3,R57.2,6,J96.0,12,A41.9,3,I63.9,7,I10,12,R57.0,9,I46.9,5,I11.9,8,E11.9,6,A15.0,6,I22,5
,I11.9,2,J46,5,V89.2,5,I63.9,3,J96.0,6,I21,9,R57.2,8,J44.9,4,I22,7,I11.9,6,I21,5,E11.8,5
,A15.0,2,G93.5,5,A41.9,5,I49.9,3,J80,5,I61.9,5,A41.9,6,I63.9,3,J46,6,E11,5,E11.9,5,E11,4
,C34.9,2,I10,4,I63.9,5,D65,2,R57.2,5,J80,5,J80,6,R57.0,3,I50.0,6,N18.5,3,N18.9,4,N18.9,3
,I61.9,2,I63.9,4,R57.0,5,J96.9,2,J18.9,4,J96.0,5,I63.9,6,N18.9,3,E11,5,I21,3,E11,4,D64.9,3
,J69.0,1,I50.0,4,E11,4,E11.9,2,J44.9,4,A15.0,4,G93.5,5,J18.9,3,N18.9,5,V89.2,3,V89.2,3,A15.0,3
,T75.1,1,N18.9,4,T71,3,J46,2,A15.0,4,N18.9,4,I11.9,5,I10,3,J96.0,4,I49.9,3,I63.9,3,J46,3
,X99,1,J96.9,4,I16.1,3,I61.9,2,P95,4,K74.6,4,T71,3,I49.9,2,N18.5,4,I46.9,3,T71,3,E11.9,2
,V89.2,1,I61.9,3,R57.2,3,C50.9,2,I11.9,4,J46,3,J18.9,3,A41.9,2,V89.2,4,P95,2,T75.1,3,T75.4,2
,I50.0,1,R57.0,3,J96.9,3,R57.1,2,V89.2,4,E11.9,3,R57.1,3,N17.9,2,I46.9,3,G93.4,2,N17.9,2,T75.1,2
,S14.1,1,C61,2,C34.9,3,B18.9,1,G93.5,3,G93.5,3,O36.5,3,I61.9,2,R57.0,3,A15.0,2,I26.9,2,N18.5,2
,N50.8,1,I49.9,2,I46,3,P26.9,1,E11.9,3,N18.5,3,R68.8,3,G93.5,2,J80,3,J46,2,C22.9,2,W19,2
,K72,1,K92.2,2,C18.9,3,J18.8,1,I49.9,3,I46.9,3,I49.9,3,J96.9,2,J44.9,3,C34.9,2,J69.0,2,G93.5,2
,E05.9,1,T71,2,J91,2,N39.0,1,I46.9,3,C50,2,N18.9,3,C53,2,C22.9,3,I26.9,2,C34.9,2,J91.8,2
,I25,1,V89.2,2,D61.9,2,P39.3,1,S02.0,3,C16.9,2,E11.9,2,J46,2,W19,3,E46,2,Q24.9,2,D75.9,2
,K92.2,1,O36.5,2,N18.5,2,C25.9,1,C22.0,3,I24.9,2,N17.9,2,J45.9,2,I63.9,3,I11.0,2,E87.6,2,R57.2,2
,O36.5,1,P95,2,P91.6,2,C78.7,1,A41.9,2,J44.9,2,I50.0,2,C61,2,P95,2,I63.9,2,I50.0,2,K27.0,2
,K65.1,1,N,1,G93.5,2,K85.9,1,I67.9,2,N,2,G93.4,2,E14.1,1,C61,2,R57.2,2,E43,2,K85.8,2
,D64.9,1,A89,1,I49.9,2,G93.5,1,T71,2,W19,2,J96.9,2,N,1,A41.9,2,C25.9,2,A41.9,2,I67.9,1
,Q24.9,1,I67.9,1,R68.8,2,C95.9,1,J46,2,P95,2,R57.8,2,T81.4,1,N17.9,2,J96.0,2,K27.0,2,I63.9,1
,C50,1,I51.6,1,N18.9,2,J80,1,K76.7,2,I26.9,2,C53,2,I67.1,1,T71,2,A41.9,2,N41.0,2,D69.9,1
,C56,1,P07.3,1,I24.8,1,I25.5,1,P36.9,2,V89.2,2,J69.0,2,R57.8,1,S06.9,2,E87.2,2,J46,2,A97.9,1
,P91.6,1,E11,1,T14.7,1,P00.3,1,C18.9,2,C25.9,2,J46,1,I62.9,1,J69.0,2,G46.3,2,C18.9,2,B90.9,1
,Q89.7,1,G80.9,1,A15.0,1,I85.9,1,I61.9,2,C78.7,2,I50.9,1,I67.9,1,D64.9,2,K92.2,1,P22.0,2,J69.0,1
,S02.0,1,D02.2,1,I27.9,1,W19,1,K27.4,2,R57.0,2,D50.0,1,T71,1,I11.10,2,O72,1,C20,1,I64,1
,R18.8,1,C77.0,1,S72.9,1,U07.1,1,R57.1,2,R68.8,2,P23,1,R57.1,1,G93.5,2,G91.9,1,K27.4,1,K72.9,1
,D37.5,1,D61.9,1,I12,1,G91.9,1,I50.9,2,I25.9,1,G31.2,1,J80,1,K27.4,2,C61,1,N14.2,1,S06.9,1
,I25.1,1,C50,1,X99,1,T14.7,1,K74.6,2,K76.7,1,O60.1,1,P23,1,K74.6,2,C18.4,1,K65.2,1,A97.2,1
,I26.9,1,Q24.9,1,T07,1,C71.9,1,E11,2,E87.8,1,R09.2,1,G40.9,1,C56,2,P21.9,1,I61.9,1,C22.0,1
,R57.0,1,C25.9,1,C79.3,1,K76.7,1,D64.9,2,C56,1,P02.2,1,R95,1,P22.0,2,R19.7,1,E11.2,1,C41.9,1
,T81.4,1,I47.2,1,K27.2,1,P28.5,1,I46.1,1,E11.52,1,P24.0,1,C22.9,1,C24.0,1,C22.9,1,W19,1,K83.1,1
,R57.8,1,N18.5,1,G20,1,D59,1,B54,1,C61,1,P91.6,1,Q89.7,1,R22.2,1,C79.5,1,O72,1,I50.0,1
,W34,1,C16.9,1,P36.9,1,P22.9,1,K76.9,1,P24.0,1,D65,1,V89.2,1,C50,1,C50,1,C50,1,M47.8,1
,S09.9,1,C53.9,1,J45.9,1,T75.4,1,C64,1,F43.2,1,P20.9,1,A15.0,1,J96.9,1,C18.9,1,C76.2,1,I48,1
,C61,1,E43,1,E43,1,V89.9,1,P20.9,1,J99.1,1,P95,1,I27.9,1,P96,1,D64.9,1,P07.2,1,M00.9,1
,O66.9,1,T75.1,1,J46,1,R57.2,1,J96.9,1,I42.0,1,C34.9,1,G20,1,I46,1,J44.9,1,O36.2,1,I25.1,1
,A41.9,1,E16.2,1,O36.5,1,,,C34.9,1,P28.5,1,T75.1,1,G46.3,1,R57.8,1,K72,1,B45.1,1,C50,1
,P24.9,1,C79.5,1,I11.9,1,,,P23.0,1,I50.9,1,C25.9,1,K74.6,1,I50.9,1,I50.0,1,C71.9,1,S09.9,1
,I62.9,1,R56.8,1,C50.9,1,,,C91.0,1,C95.9,1,N10,1,I51.7,1,T75.1,1,B34.9,1,T07,1,J96.9,1
,N17.9,1,W19,1,C14.0,1,,,R68.8,1,C90.0,1,E86,1,G06.0,1,I49.9,1,M81.9,1,D23.9,1,P07.3,1
,R65.2,1,S02.0,1,R57.8,1,,,K73.9,1,J81,1,J44.9,1,,,C92.0,1,E86,1,C18.4,1,A15.7,1
,E11,1,R57.8,1,I50.9,1,,,E86,1,C22.1,1,C61,1,,,C18.4,1,S39.9,1,I49.9,1,G30,1
,G93.5,1,A35,1,K92.2,1,,,K72,1,D64.9,1,I67.1,1,,,E43,1,C91.0,1,E10,1,I69.3,1
,C25.9,1,G93.4,1,R09.2,1,,,K27.9,1,I63.9,1,N18.5,1,,,O36.5,1,O36.5,1,G91.9,1,N13.9,1
,C53.9,1,I21.9,1,J44.1,1,,,T14.7,1,I21.4,1,I46.1,1,,,J90,1,T75.0,1,I21.9,1,B24,1
,,,J80,1,D64.9,1,,,C69.2,1,I09.9,1,C56,1,,,I25.9,1,G47.3,1,N93.9,1,G72.3,1
,,,J44.9,1,K27.4,1,,,D59.3,1,I25.0,1,I61.9,1,,,I24.9,1,C71.9,1,C22.0,1,P36.9,1
,,,D65,1,K74.6,1,,,E87.2,1,E05.9,1,K72,1,,,C85.9,1,A17.0,1,O71.1,1,K04.7,1
,,,R09.2,1,I26.0,1,,,N17.9,1,L89.9,1,C22.9,1,,,I16.1,1,G40.9,1,G40.9,1,T71,1
,,,N17.9,1,C50,1,,,C22.9,1,X74,1,E16.2,1,,,K21.0,1,K27.0,1,C78.6,1,Z91.5,1
,,,P22.0,1,C21.8,1,,,J91,1,P27.1,1,C06.9,1,,,B20,1,E86.0,1,S11.9,1,K70.9,1
,,,I71.1,1,K66.0,1,,,L89.0,1,C49.4,1,I24.9,1,,,N19,1,D59.3,1,I25.9,1,J96.0,1
,,,O36.4,1,T75.1,1,,,I24.9,1,E87.5,1,K85.8,1,,,P02.2,1,I50.9,1,P95,1,J80,1
,,,A15.0,1,J69.0,1,,,K70.3,1,S06.0,1,P27.1,1,,,C25.0,1,E83.0,1,O69.8,1,K92.2,1
,,,W74,1,W87,1,,,C61,1,C15.9,1,T80.2,1,,,I21.9,1,S09.9,1,K92.2,1,C20,1
,,,C24.0,1,O14.1,1,,,C50.9,1,I22.9,1,C95.9,1,,,O71.9,1,N28.9,1,Q79.3,1,I11.0,1
,,,,,I09.9,1,,,I09.9,1,I21.9,1,G91.9,1,,,Z35.7,1,I61.9,1,O36.7,1,C25.4,1
,,,,,I24.9,1,,,J45.9,1,F89,1,I10,1,,,G41.9,1,T75.4,1,D75.9,1,X45/Y15,1
,,,,,L08.9,1,,,C16.9,1,C85.9,1,K27.0,1,,,F03,1,O41.0,1,G31.2,1,I09.9,1
,,,,,C24.0,1,,,P24.0,1,P27.9,1,G80.9,1,,,D02.2,1,I26,1,G61.0,1,I21.9,1
,,,,,I61.9,1,,,J69.0,1,E11.4,1,I15.2,1,,,D32.9,1,J80,1,C41.9,1,I61.9,1
,,,,,S37.2,1,,,C78.7,1,K56.6,1,I26.9,1,,,A01.0,1,C22.0,1,I11.0,1,P19.9,1
,,,,,C53,1,,,P07.3,1,S06.6,1,,,,,Z45.2,1,Q89.9,1,J91.0,1,C78.7,1
,,,,,K66.1,1,,,E43,1,I49.9,1,,,,,X99,1,J16.8,1,E11.6,1,,
,,,,,R57.1,1,,,P27.9,1,C79.9,1,,,,,E87.6,1,S06.9,1,J45.9,1,,
,,,,,D02.2,1,,,C11.9,1,,,,,,,G03.9,1,G30,1,O14.9,1,,
,,,,,Q89.7,1,,,P91.6,1,,,,,,,E87.8,1,A35,1,I09.9,1,,
,,,,,N18.6,1,,,C50,1,,,,,,,A17.0,1,E05.0,1,D63,1,,
,,,,,S06.9,1,,,S02.3,1,,,,,,,I60.9,1,I08.1,1,K74.6,1,,
,,,,,C11.9,1,,,Q25.0,1,,,,,,,I61.9,1,A97.2,1,J91.8,1,,
,,,,,N13.9,1,,,X99,1,,,,,,,P91.6,1,N,1,C11.9,1,,
,,,,,,,,,N,1,,,,,,,I51.9,1,C81,1,O32.1,1,,
,,,,,,,,,,,,,,,,,Q24.9,1,S14.1,1,I50.9,1,,
,,,,,,,,,,,,,,,,,K65.1,1,,,J80,1,,
,,,,,,,,,,,,,,,,,W55,1,,,J44.1,1,,
,,,,,,,,,,,,,,,,,A35,1,,,R19.7,1,,
,,,,,,,,,,,,,,,,,Z11.1,1,,,G41.9,1,,
,,,,,,,,,,,,,,,,,G80.9,1,,,Q89.7,1,,
,,,,,,,,,,,,,,,,,I21.3,1,,,N,1,,
,,,,,,,,,,,,,,,,,I67.1,1,,,,,,
,,,,,,,,,,,,,,,,,R57.1,1,,,,,,
